image_url,caption_A,caption_B,human_output,llm_output,clip_small_output,clip_large_output,human_evaluator
https://cs.stanford.edu/people/rak248/VG_100K_2/562.jpg,"A cozy kitchen scene with a white refrigerator standing tall amidst a backdrop of wooden cabinets and shelves, adorned with various items and a touch of personal flair.","The image captures a cozy kitchen scene. Dominating the center of the frame is a large white refrigerator, standing tall and sleek. To its right, a wooden cabinet with a glass door showcases an array of dishes and glassware.",1.0,0.0,1.0,1.0,nuno
https://cs.stanford.edu/people/rak248/VG_100K_2/550.jpg,Elegant Living Room: A Symphony of Comfort and Style.,"The image captures a warm and inviting living room bathed in soft, natural light. Dominating the space is a large, plush green sofa, its rich color contrasting beautifully with the light-colored walls and wooden floor. The sofa.",1.0,1.0,1.0,0.0,nuno
https://cs.stanford.edu/people/rak248/VG_100K_2/837.jpg,"The image captures a moment on a highway, where a white car is in motion, driving away from the camera. The car is positioned in the right lane, and its license plate is clearly visible. The highway is flanked by a concrete barrier.","The image captures a serene moment on a highway, where a white car is in motion, driving under a bridge. The car is the main focus of the image, with its sleek design and shiny exterior reflecting the sunlight. The highway.",1.0,0.0,0.0,0.0,alolika
https://cs.stanford.edu/people/rak248/VG_100K_2/337.jpg,"The image captures a vibrant city street, bathed in the soft glow of daylight. The street is lined with tall buildings, their facades adorned with balconies and awnings, adding a touch of architectural charm to.","The image captures a vibrant city street, bathed in the soft glow of daylight. The street is lined with tall buildings, their facades adorned with balconies and awnings, adding a touch of architectural charm to.",0.0,0.0,1.0,0.0,nuno
https://cs.stanford.edu/people/rak248/VG_100K_2/221.jpg,"A serene suburban home nestled amidst lush greenery, under a clear sky, with a welcoming front porch and a tranquil backyard.","The image depicts a serene suburban scene. There is a single-story house with a brick facade and a gray shingle roof. The house features a prominent front door flanked by two windows, and a small porch area is visible.",1.0,0.0,1.0,1.0,nuno
https://cs.stanford.edu/people/rak248/VG_100K_2/57.jpg,"In the heart of a bustling city, a man in a suit confidently strides across the street, his path illuminated by the glow of the setting sun. The cityscape around him is a symphony of architectural styles, each.","In the heart of a bustling city, a man in a suit confidently strides across the street, his path illuminated by the glow of the setting sun. The cityscape is a symphony of architectural styles, with buildings reaching.",0.0,1.0,0.0,0.0,nuno
https://cs.stanford.edu/people/rak248/VG_100K_2/558.jpg,"A serene outdoor dining area, bathed in natural light, invites relaxation and conversation. The black and white striped awning adds a touch of classic elegance, while the vibrant green hedge and lush garden beyond provide.","The image captures a serene and inviting outdoor dining area. The space is dominated by a large dining table, surrounded by six chairs, each with a unique pattern that adds a touch of whimsy to the setting. The table is ad.",1.0,0.0,0.0,0.0,nuno
https://cs.stanford.edu/people/rak248/VG_100K_2/924.jpg,"The image captures a charming European town, where the architecture is a blend of traditional and modern elements. The buildings, painted in a variety of colors, stand tall with their steep roofs, a common feature in many European cities. The cobbl.","The image captures a charming European town, where the architecture is a blend of traditional and modern elements. The buildings, painted in a variety of colors, stand tall with their steep roofs, a common feature in many European cities. The cobbl.",1.0,0.0,0.0,0.0,alolika
https://cs.stanford.edu/people/rak248/VG_100K_2/359.jpg,"The image captures a well-used workspace, brimming with the tools of productivity and the signs of a busy mind. Dominating the scene is a desk, its surface a testament to the work that takes place here. A computer monitor.","The image captures a well-used workspace, brimming with the tools of productivity. Dominating the scene is a desk, its surface a testament to the work that takes place here. A computer monitor stands as the centerpiece, its.",1.0,0.0,0.0,0.0,nuno
https://cs.stanford.edu/people/rak248/VG_100K_2/498.jpg,"A cozy corner with a small entertainment center, featuring a television and a DVD player, set against a backdrop of a potted plant and a carpeted floor.","The image showcases a cozy corner of a room, featuring a wooden entertainment center. The centerpiece is a television, which is currently displaying a vibrant scene of a sunset over a body of water. The TV is perched on.",0.0,0.0,1.0,1.0,nuno
https://cs.stanford.edu/people/rak248/VG_100K_2/593.jpg,"In the heart of a bustling city, life unfolds on a busy sidewalk. A woman, clad in a white coat, strides confidently towards the camera, her pink bag adding a pop of color to the urban landscape. She is.","In the heart of a bustling city, a woman in a white coat strides confidently down the sidewalk, her pink bag swinging gently with each step. She's passing by a tree, its leaves rustling softly in the breeze.",1.0,0.0,0.0,1.0,alolika
