Unnamed: 0,image_url,caption_A,caption_B,human_output,llm_output,clip_small_output,clip_large_output,human_evaluator
0,https://cs.stanford.edu/people/rak248/VG_100K_2/659.jpg,"In the tranquil expanse of a grassy field, a group of bison, their coats a rich tapestry of earthy tones, are captured in a moment of serene coexistence. The largest bison,.","In the tranquil expanse of a grassy field, a group of bison, their dark brown coats contrasting with the lighter hues of the grass, are scattered across the landscape. Some are grazing peacefully, their heads.",1.0,0.0,0.0,1.0,sai_2
274,https://cs.stanford.edu/people/rak248/VG_100K_2/121.jpg,"A cozy corner of a home, where music and literature intersect. A wooden bookshelf stands tall, housing a collection of books and CDs, while a guitar leans casually against the wall, ready for a melody to.","The image showcases a cozy corner of a room, where a wooden bookshelf stands tall, housing a variety of books and CDs. The bookshelf, with its six shelves, is a testament to the owner's love.",1.0,0.0,0.0,1.0,sai_2
42,https://cs.stanford.edu/people/rak248/VG_100K_2/495.jpg,"A cozy corner in a hotel room, featuring a vibrant red armchair with a polka dot pattern, a sleek silver floor lamp, and a soft beige curtain. The room exudes a warm and inviting atmosphere,.","The image presents a cozy corner of a room, featuring a single, vibrant red armchair with a patterned design. The chair is positioned against a backdrop of a beige wall, which is partially covered by a white curtain.",1.0,0.0,0.0,0.0,sai_2
256,https://cs.stanford.edu/people/rak248/VG_100K_2/369.jpg,"The image captures a well-organized home office setup. Dominating the scene is a wooden desk, upon which rests a desktop computer with a monitor, keyboard, and mouse. The monitor is turned off, reflecting the quiet ambiance.","The image captures a well-organized home office setup. Dominating the scene is a wooden desk, hosting a variety of tech equipment. A desktop computer, complete with a monitor, keyboard, and mouse, is ready for use. Adj.",0.0,0.0,1.0,0.0,sai_2
160,https://cs.stanford.edu/people/rak248/VG_100K_2/484.jpg,"In the heart of a bustling city, a group of people have gathered on a sidewalk, their attention captivated by a large white tent that stands out against the backdrop of a red brick building. The tent, with its stark contrast,.","In the heart of a bustling city, a group of people have gathered on a sidewalk, their attention captivated by a large white tent that stands out against the backdrop of a red brick building. The tent, with its stark white color.",0.0,1.0,1.0,1.0,sai_2
304,https://cs.stanford.edu/people/rak248/VG_100K_2/524.jpg,"A modern kitchen with sleek stainless steel appliances, including a gas range and microwave, set against a backdrop of dark wood cabinets and granite countertops. The space is well-lit and inviting, with.","The image showcases a modern kitchen with a sleek design. The kitchen features a stainless steel gas range with a black cooktop, positioned between two wooden cabinets. Above the range, there's a stainless steel range hood, and.",0.0,0.0,0.0,0.0,sai_2
255,https://cs.stanford.edu/people/rak248/VG_100K_2/880.jpg,"In the heart of a bustling city, a couple takes a leisurely stroll across a pedestrian crosswalk. The urban landscape is a symphony of architectural styles, with a tall brick building standing prominently in the background.","In the heart of a bustling city, a couple takes a leisurely stroll across a crosswalk. The urban landscape is a symphony of architectural styles, with a tall brick building standing prominently in the background. The building.",1.0,0.0,1.0,1.0,sai_2
399,https://cs.stanford.edu/people/rak248/VG_100K_2/301.jpg,"The image captures a serene urban scene. Dominating the right side of the frame is a vibrant blue building, its white balcony railing contrasting with the building's facade. The building's color stands out against the.","The image captures a serene urban scene. There are three cars parked neatly along the side of the street, their colors muted under the soft light. The car closest to the camera is a sleek black sedan, its glossy.",0.0,0.0,1.0,1.0,sai_2
204,https://cs.stanford.edu/people/rak248/VG_100K_2/211.jpg,"A serene scene of rustic charm, where two log cabins stand side by side on a dirt path, their wooden walls and thatched roofs evoking a sense of tranquility and simplicity. The sky above is a canvas of.","The image captures a serene scene of a log cabin nestled in a grassy field. The cabin, constructed from logs, stands as a testament to rustic charm. Its pointed roof and a chimney on the left side add to.",1.0,0.0,1.0,0.0,sai_2
241,https://cs.stanford.edu/people/rak248/VG_100K_2/187.jpg,"A well-stocked pantry with a variety of food items and kitchen essentials, ready for culinary adventures.","The image showcases a well-organized kitchen pantry. The pantry is filled with a variety of food items and kitchen essentials. There are at least 10 bottles of different sizes and shapes, suggesting a range of beverages.",1.0,0.0,0.0,1.0,sai_2
