Unnamed: 0,image_url,caption_A,caption_B,human_output,llm_output,clip_small_output,clip_large_output,human_evaluator,evaluator
0,https://cs.stanford.edu/people/rak248/VG_100K_2/659.jpg,"In the tranquil expanse of a grassy field, a group of bison, their coats a rich tapestry of earthy tones, are captured in a moment of serene coexistence. The largest bison,.","In the tranquil expanse of a grassy field, a group of bison, their dark brown coats contrasting with the lighter hues of the grass, are scattered across the landscape. Some are grazing peacefully, their heads.",,0.0,0.0,1.0,,
1,https://cs.stanford.edu/people/rak248/VG_100K_2/562.jpg,"A cozy kitchen scene with a white refrigerator standing tall amidst a backdrop of wooden cabinets and shelves, adorned with various items and a touch of personal flair.","The image captures a cozy kitchen scene. Dominating the center of the frame is a large white refrigerator, standing tall and sleek. To its right, a wooden cabinet with a glass door showcases an array of dishes and glassware.",B,0.0,1.0,1.0,nuno,
2,https://cs.stanford.edu/people/rak248/VG_100K_2/376.jpg,"The image captures a well-organized workspace, likely in an office or home office setting. Dominating the scene is a white desktop computer, its monitor displaying a blank screen, suggesting it's either turned off or in a state of.","The image captures a well-organized workspace. Dominating the scene is a white desktop computer, its monitor displaying a blank screen. The keyboard and mouse, both in a matching white color, are neatly arranged in front of the monitor.",,0.0,1.0,1.0,,
3,https://cs.stanford.edu/people/rak248/VG_100K_2/485.jpg,"The image captures a serene urban scene, where the tranquility of nature coexists with the orderly structure of human-made architecture. A black wrought iron gate stands as a silent sentinel, its intricate design a test.","The image captures a serene urban scene. A black wrought iron gate stands prominently on the left, its dark hue contrasting with the surrounding environment. Beyond the gate, a brick wall stretches across the frame, adding a.",,0.0,1.0,1.0,,
4,https://cs.stanford.edu/people/rak248/VG_100K_2/550.jpg,Elegant Living Room: A Symphony of Comfort and Style.,"The image captures a warm and inviting living room bathed in soft, natural light. Dominating the space is a large, plush green sofa, its rich color contrasting beautifully with the light-colored walls and wooden floor. The sofa.",B,1.0,1.0,0.0,nuno,
5,https://cs.stanford.edu/people/rak248/VG_100K_2/595.jpg,"The image captures a typical day in a bustling city. The street, slick with rain, reflects the overcast sky above. A black fire hydrant stands sentinel on the sidewalk, its silver top gleaming under the mut.","The image captures a bustling city street on a rainy day. The scene is dominated by a large, white building with a red awning, which stands out against the gray sky. The building's facade is adorned.",,0.0,0.0,0.0,,
6,https://cs.stanford.edu/people/rak248/VG_100K_2/898.jpg,"The image captures a serene and cozy bedroom scene. Dominating the frame is a wooden nightstand, its surface adorned with a few items. A white lamp with a beige shade stands tall, casting a warm glow that contrast.","The image captures a serene bedroom scene. Dominating the frame is a wooden nightstand, its surface adorned with a few objects. A white lamp with a beige shade stands tall, casting a soft glow that adds to the room.",,0.0,1.0,1.0,,
7,https://cs.stanford.edu/people/rak248/VG_100K_2/694.jpg,"In the heart of the wild, a family of lions finds solace in the tall grass. The mother lion, a majestic creature with a coat of golden hues, stands guard over her cubs. Her gaze is focused on the camera.","In the heart of a verdant field, a family of lions finds respite. The adult lions, their coats a warm blend of brown and beige, are lying down, their bodies relaxed and at ease. Their young cubs.",,0.0,1.0,1.0,,
8,https://cs.stanford.edu/people/rak248/VG_100K_2/837.jpg,"The image captures a moment on a highway, where a white car is in motion, driving away from the camera. The car is positioned in the right lane, and its license plate is clearly visible. The highway is flanked by a concrete barrier.","The image captures a serene moment on a highway, where a white car is in motion, driving under a bridge. The car is the main focus of the image, with its sleek design and shiny exterior reflecting the sunlight. The highway.",1.0,0.0,0.0,0.0,alolika,
9,https://cs.stanford.edu/people/rak248/VG_100K_2/688.jpg,"In the heart of the savanna, a zebra stands majestically, its black and white stripes contrasting sharply with the golden hues of the grassy field. The zebra, facing towards the right side of the image.","In the heart of a dry savanna, a zebra stands out with its distinctive black and white stripes. The zebra, positioned centrally in the image, is captured in a moment of tranquility, its head raised.",,0.0,0.0,1.0,,
