Unnamed: 0,image_url,caption_A,caption_B,human_output,llm_output,clip_small_output,clip_large_output,human_evaluator
275,https://cs.stanford.edu/people/rak248/VG_100K_2/60.jpg,"The image captures a serene street scene, where three mopeds are parked neatly along a stone wall. The mopeds, each with its own unique color and design, are parked in a row, their metallic bodies gleaming.","The image captures a serene street scene, where three mopeds are parked neatly along the side of a stone wall. The mopeds, each with its own unique design, are arranged in a line, creating a sense of order.",0.0,0.0,1.0,1.0,priyan
9,https://cs.stanford.edu/people/rak248/VG_100K_2/688.jpg,"In the heart of the savanna, a zebra stands majestically, its black and white stripes contrasting sharply with the golden hues of the grassy field. The zebra, facing towards the right side of the image.","In the heart of a dry savanna, a zebra stands out with its distinctive black and white stripes. The zebra, positioned centrally in the image, is captured in a moment of tranquility, its head raised.",1.0,0.0,0.0,1.0,priyan
233,https://cs.stanford.edu/people/rak248/VG_100K_2/79.jpg,"A cozy cabin retreat with a warm wooden interior, featuring a spacious living room with a comfortable couch and a fireplace, a dining area with a wooden table and chairs, and a large window that lets in natural light, creating a ser.","The image captures a cozy and inviting living room bathed in natural light. Dominating the scene is a wooden dining table, surrounded by six matching chairs, all exuding a warm, rustic charm. The table is set against a.",1.0,0.0,0.0,0.0,priyan
150,https://cs.stanford.edu/people/rak248/VG_100K_2/755.jpg,"The image captures a vibrant night scene in a European city. The focal point is a grand, illuminated building with a clock tower, its architectural details accentuated by the warm glow of the lights. The building's fac.","The image captures a lively night scene in a European city. The focal point is a grand, illuminated building with a clock tower, adorned with flags and banners, suggesting a festive or celebratory occasion. The.",0.0,0.0,0.0,1.0,priyan
250,https://cs.stanford.edu/people/rak248/VG_100K_2/198.jpg,"A cozy cabin nestled in a serene woodland setting, with a car parked in front, ready for an adventure in the great outdoors.","The image captures a serene scene of a log cabin nestled amidst a lush forest. The cabin, constructed from dark wood, stands out against the verdant backdrop. A chimney rises from the roof, hinting at.",1.0,0.0,0.0,1.0,priyan
278,https://cs.stanford.edu/people/rak248/VG_100K_2/992.jpg,"A bustling airport tarmac under a clear blue sky, with a large commercial airplane parked and ready for boarding, surrounded by various ground support vehicles and equipment, preparing for its next journey.","The image captures a bustling airport tarmac under a clear blue sky. Dominating the scene is a large white airplane, its blue tail adorned with a red stripe, parked at a gate. The airplane is connected.",0.0,0.0,1.0,1.0,priyan
196,https://cs.stanford.edu/people/rak248/VG_100K_2/308.jpg,"A serene day at the bridge, where city life meets nature's tranquility. People stroll along the pedestrian walkway, enjoying the view of the river and the distant cityscape. A red SUV adds a pop of.","In the image, a group of people are enjoying a leisurely walk on a pedestrian bridge that spans over a body of water. The bridge is adorned with a black metal railing, providing a safe barrier between the pedestri.",1.0,0.0,1.0,1.0,priyan
93,https://cs.stanford.edu/people/rak248/VG_100K_2/159.jpg,"The image captures a serene urban scene. A tree with vibrant pink flowers stands prominently in the foreground, its blossoms adding a touch of nature's beauty to the concrete landscape. The tree is nestled on a.","The image captures a serene urban scene. Dominating the foreground is a vibrant tree, its branches adorned with delicate pink flowers that add a touch of nature to the concrete landscape. The tree stands on a patch of grass,.",0.0,0.0,0.0,0.0,priyan
469,https://cs.stanford.edu/people/rak248/VG_100K_2/709.jpg,Serene Harbor: A Nautical Paradise.,"The image captures a serene marina, where the tranquil blue water is dotted with a variety of boats. There are at least ten boats visible, each with its own unique design and color. The boats are moored in a.",0.0,1.0,1.0,1.0,priyan
222,https://cs.stanford.edu/people/rak248/VG_100K_2/847.jpg,"A lively scene unfolds on a sunny day at a municipal auditorium, where a crowd of people are gathered, some standing in line, others walking by, all seemingly engaged in the event. The building's architecture suggests a.","The image captures a lively scene outside a municipal auditorium. A crowd of people, numbering around 20, are gathered on the sidewalk, some standing, others walking. The auditorium itself is a large, imposing.",1.0,0.0,1.0,1.0,priyan
