Unnamed: 0,image_url,caption_A,caption_B,human_output,llm_output,clip_small_output,clip_large_output,human_evaluator
402,https://cs.stanford.edu/people/rak248/VG_100K_2/710.jpg,"The image captures a dramatic scene of a large, imposing building standing tall against the backdrop of a stormy sky. The building, with its grand architecture and multiple windows, exudes an air of authority and permanence. The dark clouds.","The image captures a dramatic scene of a large, imposing building standing tall against the backdrop of a stormy sky. The building, with its grand architecture and multiple windows, is a prominent feature in the foreground. The sky, filled.",0.0,0.0,1.0,1.0,alolika
137,https://cs.stanford.edu/people/rak248/VG_100K_2/360.jpg,"In the image, a person is engrossed in their work at a desk in what appears to be a home office or a personal workspace. The individual is seated in front of a computer monitor, which is displaying a window with text, suggesting.","In the image, a person is seated at a desk, engrossed in work on a computer monitor. The desk is cluttered with various items, including a keyboard, a mouse, and a water bottle. There's also a pair.",0.0,0.0,0.0,0.0,alolika
389,https://cs.stanford.edu/people/rak248/VG_100K_2/664.jpg,"In the heart of a cozy kitchen, a table is set for a delightful meal. A wooden table, bathed in the warm glow of a single light source, serves as the stage for this culinary performance. On it, a tant.","In the heart of a cozy kitchen, a wooden table is set for a delightful meal. A person, partially visible, is seated at the table, their attention captivated by the array of food and drink before them. The table is.",0.0,1.0,0.0,1.0,alolika
8,https://cs.stanford.edu/people/rak248/VG_100K_2/837.jpg,"The image captures a moment on a highway, where a white car is in motion, driving away from the camera. The car is positioned in the right lane, and its license plate is clearly visible. The highway is flanked by a concrete barrier.","The image captures a serene moment on a highway, where a white car is in motion, driving under a bridge. The car is the main focus of the image, with its sleek design and shiny exterior reflecting the sunlight. The highway.",1.0,0.0,0.0,0.0,alolika
178,https://cs.stanford.edu/people/rak248/VG_100K_2/334.jpg,"In the heart of a cozy kitchen, a coffee machine stands ready to brew a fresh pot of coffee. The machine, a sleek stainless steel model, is adorned with a charming sticker of a rooster, adding a touch.","The image captures a well-used coffee station, brimming with a variety of items. Dominating the scene is a coffee maker, its silver exterior gleaming under the light. It's a robust machine, standing tall and ready for.",1.0,0.0,1.0,1.0,alolika
155,https://cs.stanford.edu/people/rak248/VG_100K_2/984.jpg,"In the heart of a bustling city, a narrow street stretches out, flanked by tall buildings that reach for the sky. The architecture is a blend of old and new, with ornate details on the facades and modern vehicles parked along.","The image captures a serene city street, bathed in the soft glow of daylight. The street, flanked by tall buildings, is a hive of activity with several people going about their day. A few individuals are seen walking on.",1.0,0.0,1.0,1.0,alolika
379,https://cs.stanford.edu/people/rak248/VG_100K_2/291.jpg,"A serene suburban home, nestled amidst lush greenery, bathed in the soft glow of daylight. The white house with its black roof and green shutters exudes a sense of tranquility and homely.","The image captures a serene and inviting scene of a two-story house nestled amidst lush greenery. The house, painted in a soothing shade of white, stands out against the verdant backdrop. Its black.",1.0,0.0,0.0,1.0,alolika
291,https://cs.stanford.edu/people/rak248/VG_100K_2/656.jpg,"Serene solitude in a verdant field, where nature's whispers fill the air under a vast, clear sky.","The image captures a serene landscape under a clear blue sky. Dominating the scene are three majestic trees, their leaves a vibrant green, standing tall against the azure backdrop. The trees are situated on a grassy hill,.",0.0,0.0,1.0,1.0,alolika
195,https://cs.stanford.edu/people/rak248/VG_100K_2/845.jpg,"The image captures a serene park scene, bathed in the soft glow of daylight. A row of wooden benches, their natural tones blending harmoniously with the surrounding greenery, lines the path. Each bench, inv.","The image captures a serene park scene. There are **six wooden benches** arranged in a row, inviting visitors to sit and enjoy the surroundings. The benches are positioned on a **gravel path** that meanders through.",1.0,1.0,1.0,0.0,alolika
164,https://cs.stanford.edu/people/rak248/VG_100K_2/910.jpg,"In the image, a young man is seated at a dining table, engrossed in the simple pleasure of a meal. He's holding a spoon, poised to scoop up a bite of cereal from a white bowl. The bowl.","In the image, a young man is seated at a table, engrossed in the act of pouring milk from a carton into a white bowl. The table, serving as the stage for this everyday scene, is adorned with a.",0.0,0.0,0.0,0.0,alolika
